version,diff,line_number,comments
v1,"107c107
< 	if (src[*i - 1] == ESCAPE) {
---
> 	if (src[*i] == ESCAPE) {",107-109,
v2,"107c107
< 	if (src[*i - 1] == ESCAPE) {
---
> /*	if (src[*i - 1] == ESCAPE) {
110c110
< 	} else	
---
> 	} else	*/",107-125,这里去掉了第一个if判断条件，应该会影响后面的整个else部分
v3,"494c494
< 	    if ((m >= 0) && (lastm != m)) {
---
> 	    if ((m >= 0) /* && (lastm != m) */) {",494-497,
v4,"494c494
< 	    if ((m >= 0) && (lastm != m)) {
---
> 	    if ((m >= 0) && (/* lastm BUG! */ i != m)) {",494-497,
v5,"118c118
< 		    for (k = src[*i-1]+1; k<=src[*i+1]; k++) 
---
> 		    for (k = src[*i-1]+1; k< /* = BUG! */ src[*i+1]; k++)",118-121,
v6,"315c315
<     while ((i > offset))
---
>     while ((i >= offset)) /* off by 1 BUG!*/
319c319
< 	    i = offset;
---
> 	    break; /*i = offset;*/",315-322,
v7,"176c176
<   return (c == BOL || c == EOL || c == CLOSURE);
---
>   return (c == BOL || c == ANY/*EOL mutation BUG!*/ || c == CLOSURE);",176,
v8,"176c176
<   return (c == BOL || c == EOL || c == CLOSURE);
---
>   return (c == BOL || c == EOL /* || c == CLOSURE BUG! */);",176,
v9,"115,116c115,116
< 	    else if ((isalnum(src[*i - 1])) && (isalnum(src[*i + 1])) 
< 		&& (src[*i - 1] <= src[*i + 1]))
---
> 	    else if ((isalnum(src[*i - 1])) && (isalnum(src[*i + 1]))) 
> 		/* && (src[*i - 1] <= src[*i + 1])) missing code */",115-123,
v10,"115c115,116
< 	    else if ((isalnum(src[*i - 1])) && (isalnum(src[*i + 1])) 
---
> 	    else if ((isalnum(src[*i - 1])) 
> 		     /* missing code && (isalnum(src[*i + 1])) */",115-124,
v11,"116c116
< 		&& (src[*i - 1] <= src[*i + 1]))
---
> 		&& (src[*i - 1] > src[*i])) /* operator mutation and off by one */",115-123,
v12,"14c14,15
< # define MAXPAT MAXSTR
---
>       /* was MAXPAT MAXSTR, but did a constant mutation */
> # define MAXPAT 50",55-57,最终会影响 addstr 里的一个 if 条件
v13,"500c500,503
< 		i = i + 1;
---
> 		if (m == -1) 
> 		    i = i + 1;
> 		else 
> 		    i = i + 2;  /* added code */",500-503,
